"ref","N_Predictor","N_Response","methods","variable","variable_cat","error_distribution","data_available","species","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","sd","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","per_chick","notes"
184,NA,"1","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,4.293041,2.20592,TRUE,2,"visits/30min",0.5,NA,FALSE,"female; peak vs delayed"
184,NA,"1","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,5.694444,2.73594,TRUE,2,"visits/30min",0.5,NA,FALSE,"total; experimental vs natural"
184,NA,"1","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,3.9,2.23059,TRUE,2,"visits/30min",0.5,NA,FALSE,"female; experimental vs natural"
253,NA,"1","LMM","visits","number","Gaussian","FALSE","great tit Parus major","video","1",1,TRUE,18.06513,10.67049,TRUE,2,"visits/hour",1,NA,FALSE,"extracted from fig 1"
278,NA,"1","LM","visits","number","Gaussian","FALSE","spotless starlings (Sturnus unicolor)","automated","40 mins",0.66667,TRUE,5.835369,4.81238,TRUE,8,"visits/40mins",0.66667,NA,FALSE,"pooled; extracted from fig 1 and 2"
278,NA,"1","LM","visits","number","Gaussian","FALSE","spotless starlings (Sturnus unicolor)","automated","40 mins",0.66667,TRUE,7.92614,4.36017,TRUE,4,"visits/40mins",0.66667,NA,FALSE,"female; extracted from fig 1"
278,NA,"1","LM","visits","number","Gaussian","FALSE","spotless starlings (Sturnus unicolor)","automated","40 mins",0.66667,TRUE,3.744597,4.34737,TRUE,4,"visits/40mins",0.66667,NA,FALSE,"male; extracted from fig 2"
283,NA,"1","LMM","visits","number","Gaussian","FALSE","brown thornbills (Acanthiza pusilla)","video","45 mins",0.75,TRUE,4.266038,3.724034,TRUE,12,"visits/45min",0.75,NA,FALSE,"extracted from fig 2"
24,NA,"2","LMM","visits/hour","rate","Gaussian","FALSE","Acorn woodpecker Melanerpes formicivorus","direct","~3",3,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"data not presented"
27,NA,"1","non-parametric","visits/hour","rate","non-parametric","FALSE","Nuthatch, Sitta europaea","video","95.05 ± SD 12.01 min",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"male PR; data not presented"
27,NA,"2","non-parametric","visits/hour","rate","non-parametric","FALSE","Nuthatch, Sitta europaea","video","95.05 ± SD 12.01 min",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"female PR; data not presented"
28,NA,"1","GLMM","visits/hour","rate","Poisson","TRUE; but embargoed","House sparrow (Passer domesticus)","video","1.5",1.5,TRUE,7.84597,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"exp model intercept used; data embargoed on dryad"
38,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","chestnut-crowned babbler (Pomatostomus ruficeps)","automated","15 h (±5 h SD, range = 6–28 h) during control days and 8 h (±4 h SD, range = 2–14 h) during experimental days;",11.5,FALSE,NA,NA,NA,NA,"visits/hour/chick",1,NA,TRUE,"per chick data available, but not extracted"
38,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","chestnut-crowned babbler (Pomatostomus ruficeps)","automated","15 h (±5 h SD, range = 6–28 h) during control days and 8 h (±4 h SD, range = 2–14 h) during experimental days;",11.5,FALSE,NA,NA,NA,NA,"visits/hour/chick",1,NA,TRUE,"per chick data available, but not extracted"
55,NA,"2","LM","visits/day/chick","rate","Gaussian","FALSE","bald eagle Haliaeetus leucocephalus","video","~ sunrise-sunset",24,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"exp vs. control; individual"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Male; single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Male; successful single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Male; successful vs. failed double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Total; single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Total; successful single vs. double brooders"
73,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Total; successful vs. failed double brooders"
76,NA,"2","LMM","visits/chick","rate","Gaussian","FALSE","eastern bluebird Sialia sialis","video","2",2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
76,NA,"2","LMM","visits/chick","rate","Gaussian","FALSE","eastern bluebird Sialia sialis","video","2",2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
136,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","bell miner Manorina melanophrys","mixed direct + video","not specified",NA,NA,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"rates and observation periods not presented"
150,NA,"3","LM","visits/hour","rate","Gaussian","FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"daughter"
150,NA,"3","LM","visits/hour","rate","Gaussian","FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"son"
150,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"mid-offspring"
150,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","house sparrow Passer domesticus","mixed direct + video","1 or 2",1.5,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"pedigree dataset; data not reported"
184,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,"visits/30min",0.5,NA,TRUE,"total per chick; data not extracted"
184,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,"visits/30min",0.5,NA,TRUE,"female per chick; data not extracted"
184,NA,"1","LMM","visits/30min/chick","rate","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,NA,NA,NA,NA,"visits/30min",0.5,NA,TRUE,"male per chick; data not extracted"
201,1,"1","LMM","visits/hour","rate","Gaussian","FALSE","Yellow Warbler Setophaga petechia","video","2-4 hours",3,FALSE,NA,NA,NA,NA,"visits/hour",1,NA,FALSE,"nestling feeding; not clear if all vaiables in models standardised"
19,NA,"1/1","LM/GLM","visits/30mins","rate","Gaussian/Negative_Binomial","FALSE","Cerulean warblers (Setophaga cerulea)","video","0.7592593 ± 0.2545875, mean+sd",0.7592593,FALSE,4.31,1.766692,FALSE,NA,"visits/30min",0.5,NA,FALSE,NA
33,NA,"1","LMM","visits/hour","rate","Gaussian","TRUE, but incomprehensable","azure-winged magpie Cyanapica cyana","video","unclear",NA,NA,1.15,0.6734983,FALSE,NA,"visits/hour",1,NA,FALSE,"incubation feeding; unsure of data collection"
33,NA,"1","LMM","visits/hour","rate","Gaussian","TRUE, but incomprehensable","azure-winged magpie Cyanapica cyana","video","unclear",NA,NA,1.522042,1.26366,FALSE,NA,"visits/hour",1,NA,FALSE,"extracted from fig 2"
42,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","sapayoa Sapayoa aenigma","video","2-4",3,FALSE,1.066575,0.7753294,FALSE,NA,"visits/hour",1,NA,FALSE,"extracted from figure 4b"
42,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","sapayoa Sapayoa aenigma","video","2-4",3,FALSE,1.054039,0.6122655,FALSE,NA,"visits/hour",1,NA,FALSE,"extracted from figure 4c"
55,NA,"2","LM","visits/day","rate","Gaussian","FALSE","bald eagle Haliaeetus leucocephalus","video","~ sunrise-sunset",24,TRUE,2.64,NA,FALSE,NA,"visits/day",24,NA,FALSE,"mean of means; sd not used as sd of 4 means"
69,NA,"2","LMM","visits/min","rate","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","2",2,TRUE,0.4367205,0.1893488,FALSE,NA,"visits/min",0.01666667,NA,FALSE,"PR; extracted from fig1a"
69,NA,"2","LMM","visits/min","rate","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","2",2,TRUE,0.4186535,0.189167,FALSE,NA,"visits/min",0.01666667,NA,FALSE,"partner PR; extracted from fig1c"
70,NA,"1","LM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,6.731265,2.588481,FALSE,NA,"visits/hour",1,NA,FALSE,"control; brood"
70,NA,"1","LM","visits/hour/chick","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,2.29609,1.023478,FALSE,NA,"visits/hour/chick",1,NA,TRUE,"control; per chick"
70,NA,"1","LMM","visits/hour","rate","Gaussian","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","control - 17, exp - 6",10,FALSE,3.1,2,FALSE,NA,"visits/hour",1,NA,FALSE,"control; individual"
