"ref","common_name","scientific_name","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","mean_rate_use","sd","se","n","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","notes"
184,"European Starling","Sturnus vulgaris","direct","0.5",0.5,TRUE,"6.96",6.96,NA,"0.3",109,NA,NA,"visits / 30 min",0.5,NA,NA
190,"Oriental Stork","Ciconia boyciana","video","6",6,TRUE,"0.38",0.38,NA,"should be able to calculate from Fig. 4D",12,NA,NA,"visits/hour",1,NA,"mean of males and females - separate SEs presented and not sure how to combine"
191,"Greater Ani","Crotophaga major","video","mean 14.5 (sd 3, range 12-21)",14.5,FALSE,NA,1.37,0.3109126,NA,NA,TRUE,2,"visits/hour/adult",1,"4-6","hours of recording not continuous, but aggregated"
194,"Long-tailed Tit","Aegithalos caudatus","direct","c.1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"visit rate squareroot-transformed; data not presented"
195,"Black-legged Kittiwake","Rissa tridactyla","direct","3",3,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data not presented"
196,"Wood Warbler","Phylloscopus sibilatrix","video","1",1,TRUE,"14",14,NA,"1",174,NA,NA,"visits/hour",1,NA,"nests filmed continuously but couldn't transcribe all data so resampled periods of an hour from recorded footage"
200,"Chestnut-crowned Babbler","Pomatostomus ruficeps","automated","9.6 ± 3.7 h/day",9.6,NA,"0.96",0.96,NA,"maybe from fig 2",NA,NA,NA,"visits/hour",1,NA,NA
201,"Yellow Warbler","Setophaga petechia","video","2-4 hours",3,NA,"1.38",1.38,NA,NA,NA,NA,NA,"visits/hour",1,NA,"male incubation feeding; mean logged from poisson model estiamte"
201,"Yellow Warbler","Setophaga petechia","video","2-4 hours",3,NA,"6.91",6.91,NA,NA,NA,NA,NA,"visits/hour",1,NA,"nestling feeding; sqrt transforamtion - mean squared from model estimate"
213,"Cape Gannet","Morus capensis","automated","continuous",NA,FALSE,"0.9946667",0.9946667,0.3316143,NA,NA,NA,NA,"visits/day",NA,NA,"dont know how means and ses were calculated -as sd<1, so problem with calculating CV"
215,"Great Blue Heron","Ardea herodias","direct","6-9 hours",7.5,NA,"0.4023879",0.4023879,0.4585092,NA,NA,NA,NA,"visits/hour",1,NA,"extracted from fig 3; probably the averages of many averages presented"
223,"Mississippi Kite","Ictinia mississippiensis","direct","2",2,TRUE,"1.44",1.44,NA,NA,NA,NA,NA,"visits/hour",1,NA,"THINK that they watched nests multiple times, each tme for 2 hours? they then pool all observations of each nest. So I have just included the overal mean, and no Sd"
224,"House Wren","Troglodytes aedon","video","1",1,TRUE,"7.967391",7.967391,4.861717,NA,NA,NA,NA,"visits/hour",1,NA,"extracted from dryad data"
227,"Carrion Crow","Corvus corone","video","4-8",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample sizes not clear - mean±Se presented in figrues"
229,"Great Reed Warbler","Acrocephalus arundinaceus","video","4.9±1.2 h (mean±SD, range 2–8h). The first 0.5 h of each recording was ignored",4.4,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA
233,"Great Tit","Parus major","video","1",1,TRUE,"27.76646",27.76646,NA,NA,NA,NA,NA,"visits/hour",1,NA,"intercepts from models 2.79 and 3.67 (days 4 and 11); sample sizes are not clear so mean of exp values taken - mean(c(exp(2.79),exp(3.67)))"
245,"Horned Lark","Eremophila alpestris","video","4",4,TRUE,"4.235",4.235,3.205177,NA,NA,NA,NA,"visits/hour",1,NA,"assume that SD is pesented and not SE, as an SD of 33 with mean of 4 would be impossible!!"
246,"Blue-black Grassquit","Volatinia jacarina","video","2.20 ± 0.46 h (mean ± SD, range 1.12-2.97 h,N = 185 recordings",2.2,NA,NA,NA,NA,NA,NA,NA,NA,"visits/hour",1,NA,"extract from fig 3"
253,"Great Tit","Parus major","video","1",1,TRUE,"18.06513",18.06513,10.67049,NA,NA,NA,NA,"visits/hour",1,NA,NA
254,"Brown Booby","Sula leucogaster","direct","24",24,NA,"5.37",5.37,2.283784,NA,NA,NA,NA,"Visits",24,NA,NA
262,"Shoebill","Balaeniceps rex","video","24",24,TRUE,"1.12",1.12,1.08,NA,NA,NA,NA,"visits/day",24,NA,NA
262,"Shoebill","Balaeniceps rex","video","1",1,TRUE,"0.11",0.11,0.35,NA,NA,NA,NA,"visits/hour",1,NA,NA
274,"Ochre-collared Piculet","Picumnus temminckii","direct","2.5",2.5,NA,"1.705832",1.705832,1.214099,NA,NA,NA,NA,"visits/hour",1,NA,"extracted from fig 2"
278,"Spotless Starling","Sturnus unicolor","automated","40 mins",0.66667,TRUE,"5.835369",5.835369,4.812383,NA,NA,NA,NA,"visits",0.66667,NA,"extracted from fig 1 and 2"
279,"Common Tern","Sterna hirundo","direct","1",1,TRUE,"0.62054",0.62054,0.4287584,NA,NA,NA,NA,"visits/hour/chick",1,NA,"extract from fig A4"
279,"Roseate Tern","Sterna dougallii","direct","1",1,TRUE,"0.4418112",0.4418112,0.2670164,NA,NA,NA,NA,"visits/hour/chick",1,NA,"extract from fig A4"
281,"Northern Wheatear","Oenanthe oenanthe","automated","1?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no summary stats"
282,"Yellow Warbler","Setophaga petechia","video","~1.5",1.5,FALSE,"5.080226",5.080226,NA,NA,NA,NA,NA,"visits/hour",NA,NA,"extracted from fig 1; not sure how errors calculated so not used"
283,"Brown Thornbill","Acanthiza pusilla","video","45 mins",0.75,TRUE,"4.266038",4.266038,3.724034,NA,NA,NA,NA,"visits",0.75,NA,"extracted from fig 2"
288,"Rock Sparrow","Petronia petronia","mixed direct + video","3.17 ± 0.99",3.17,FALSE,"0.7882051",0.7882051,1.8494792,NA,NA,NA,NA,"visits/hour/chick",1,"4.29",NA
