"mean","R2_lm","R2_mem"
66.4,0.274189646801991,0.32643072091933
67.74,0.448366241612988,0.484713500135324
68.97,0.565894065382972,0.622015505013933
66.05,0.387958685323668,0.428145645680449
66.76,0.280189004342582,0.351568965316202
68.78,0.549837666483377,0.608519894497347
73.72,0.574377953713609,0.653942504351841
72.37,0.422881796821292,0.489337331986269
72.1,0.475079438970742,0.535427393526179
70.26,0.213802998204485,0.265323947372523
74.92,0.276636844775556,0.311968528580468
77.22,0.395763785525501,0.469864535530387
73.98,0.314529967290855,0.363599668097126
77.4,0.455252272920848,0.517499010540973
75.73,0.461573340592198,0.502430792618119
81.09,0.43791029579259,0.498624708555588
82.36,0.615101114062943,0.700992488266404
83.41,0.46139639860571,0.521201926457642
77.81,0.461090898759773,0.52072063861912
83.84,0.588477749498388,0.665542731923277
81.6,0.544798964997976,0.60249336151059
76.56,0.352486832852451,0.437699232068397
85.21,0.369561296919364,0.415738633663061
84.16,0.450249504577282,0.516037348442783
84.05,0.419835792200928,0.482259828108536
90.97,0.508526371669761,0.570372980015269
86.36,0.461185337729643,0.505684188611612
95.5,0.512827531102512,0.554516934644502
83.71,0.396811229776513,0.455106514518912
92.93,0.539834938955889,0.603895491937359
95.57,0.524957391800946,0.567091890009155
96.28,0.510850819821571,0.550677129091047
97,0.467898379284311,0.505103688977539
92.21,0.420578523584926,0.469282921058676
89.91,0.28149402216914,0.336473350792293
95.5,0.528019018852721,0.588324995431282
91.54,0.402303585938856,0.469860185310687
